GROUPNAME,COMMAND,ToBeTested,PLANT3D,PandID,NA,SHORT,UNDERSCORE,Plant3D,PandID
PLANT3D,lcPLANTORTHOUPDATEBOM,YES,YES,NO,NO,NO,YES,YES,NO
PLANT3D,lcPLANTORTHOPLACEBOM,YES,YES,NO,NO,NO,YES,YES,NO
PLANT3D,lcPLANTORTHOTEMPLATETABLESETUP_DB,YES,YES,NO,NO,NO,YES,YES,NO
PLANT3D,lcPLANTORTHODWGTABLESETUP_DB,YES,YES,NO,NO,NO,YES,YES,NO
PLANT3D,lcPLANTORTHOPLACEBOMTEMPLATE,YES,YES,NO,NO,NO,YES,YES,NO
PLANT3D,lcPLANTCREATEREPORT_DB,YES,YES,NO,NO,NO,YES,YES,NO
PLANT3D,lcPLANTSNAPSHOTCOG,YES,YES,NO,NO,NO,YES,YES,NO
PLANT3D,lcPLANTEDITCOG,YES,YES,NO,NO,YES,YES,YES,NO
PLANT3D,lcPLANTSELECTIVECOGSWITCH,YES,YES,NO,NO,YES,YES,YES,NO
PLANT3D,lcPLANTORTHOPIPEGAP,YES,YES,NO,NO,NO,YES,NO,NO
PLANT3D,lcPLANTORTHOTEMPLATESETTINGS,YES,YES,NO,NO,NO,YES,NO,NO
PLANT3D,lcPLANTORTHOHIDDENLINEMODE,YES,YES,NO,NO,YES,YES,NO,NO
PLANT3D,lcPLANTORTHONOCENTERLINES,YES,YES,NO,NO,YES,YES,NO,NO
PLANT3D,lcPLANTORTHOADDJOG,YES,YES,NO,NO,NO,YES,NO,NO
PLANT3D,lcPlantOrthoShowOpenPipeSymbol,YES,YES,NO,NO,YES,YES,NO,NO
PLANT3D,lcPLANTORTHOPAPERCHECK ,YES,YES,NO,NO,YES,YES,NO,NO
PLANT3D,lcPLANTORTHOMATCHLINEMODE,YES,YES,NO,NO,YES,YES,NO,NO
PLANT3D,lcPLANTDWGCHECKER,YES,YES,NO,NO,NO,YES,NO,NO
PLANT3D,lcOFFPAGECONNECT,YES,YES,YES,NO,NO,YES,NO,NO
PLANT3D,lcPlantDWGCheckerAutoCheck,YES,YES,NO,NO,YES,YES,NO,NO
PLANT3D,lcPLANTPIPEADD,YES,YES,NO,NO,YES,YES,NO,NO
PLANT3D,lcPLANTPIPESUPPORTMOVE,YES,YES,NO,NO,YES,YES,NO,NO
PLANT3D,lcPLANTINSERTAUTODESKCONNECTIONPOINT,YES,YES,NO,NO,YES,YES,NO,NO
PLANT3D,lcPLANTEDITBEND,YES,YES,NO,NO,YES,YES,NO,NO
PLANT3D,lcPLANTSUPPORTSONSUPPORTS,YES,YES,NO,NO,YES,YES,NO,NO
PLANT3D,lcPLANTPIPESUPPORTADD,YES,YES,NO,NO,YES,YES,NO,NO
PLANT3D,lcPLANTPRODUCTIONISO,YES,YES,NO,NO,YES,YES,NO,NO
PLANT3D,lcPLANTEDITAUTODESKCONNECTIONPOINT,YES,YES,NO,NO,NO,YES,NO,NO
PLANT3D,lcPLANTISOADDINFO,YES,YES,NO,NO,YES,YES,NO,NO
PLANT3D,lcPLANTWELDADD,YES,YES,NO,NO,YES,YES,NO,NO
PLANT3D,lcPLANTISOTBDRAWAREA,YES,YES,NO,NO,YES,YES,NO,NO
PLANT3D,lcPLANTISOTBPLACETABLE,YES,YES,NO,NO,YES,YES,NO,NO
PLANT3D,lcPLANTISOTBNORTHARROW,YES,YES,NO,NO,YES,YES,NO,NO
PLANT3D,lcPLANTISOTBCLOSE,YES,YES,NO,NO,NO,YES,NO,NO
PLANT3D,lcPLANTISOTHEMESSETUP,YES,YES,NO,NO,NO,YES,NO,NO
PLANT3D,lcAUTODESKCONNECTIONPOINT,YES,YES,NO,NO,YES,YES,NO,NO
PLANT3D,lcPLANTROUTEPIPEFROMACP,NO,YES,NO,NO,YES,YES,NO,NO
