DIALOG NAME,DIALOG PARENT NAME,Plant3D,PandID
Plant3DProjectDrawingsContainExternalReferencesDLG,,YES,YES
EquipmentLegDLG,P3DCreateEquipmentDLG,YES,YES
EquipmentSaddleDLG,P3DCreateEquipmentDLG,YES,YES
ProjectSetupPipeBendSettingsDLG,ProjectSetupProjectDetailsDLG,YES,YES
ProjectSetupPulledPipeBendDLG,ProjectSetupProjectDetailsDLG,YES,YES
PIDPainterChooseAPropertyListDLG,ProjectSetupProjectDetailsDLG,YES,YES
DeletePIDPainterStyleDLG,ProjectSetupProjectDetailsDLG,YES,YES
ProjectSetupPIDPainterSettingsDLG,ProjectSetupProjectDetailsDLG,YES,YES
NewPIDPainterStyleToSaveDLG,ProjectSetupProjectDetailsDLG,YES,YES
ActuatorBrowserDLG,ActuatorBrowserDLG,NO,NO
AddBoltStandardDLG,,NO,NO
AddCategoryDLG,ProjectSetupProjectDetailsDLG,NO,NO
AddCategoryErrorMSG,AddCategoryDLG,NO,NO
AddEndcodeDLG,ManageEndcodesDLG,NO,NO
AddJointDLG,ProjectSetupDMConfigurationDLG,NO,NO
AddNotesToGroupDLG,SpecEditorDLG,NO,NO
AddPipeSupportDLG,AddPipeSupportDLG,NO,NO
AddPropertyDLG,ProjectSetupProjectDetailsDLG ,NO,NO
AddRowDLG,ProjectSetupProjectDetailsDLG ,NO,NO
AddRowDUPNameErrorMSG,NewDWGDLG,NO,NO
AddRowErrorMSG, AddRowDLG,NO,NO
AddRowSelectionListDLG,SelectionListPropertyDLG,NO,NO
AddSelectionListDLG,SelectionListPropertyDLG,NO,NO
AddSymbolsEditSymbolSettingsDLG,ProjectSetupPandIDClassDefinitionDLG,NO,NO
AddSymbolsSelectSymbolsDLG,AddSymbolsSelectSymbolsDLG,NO,NO
AdvancedDefaultSettingsDLG,,NO,NO
AdvancedIsoCreationOptionsDLG,CreateProductionIsoDLG,NO,NO
AdvanceSteelXMLExportDLG,AdvanceSteelXMLExportDLG, NO, NO
AlertDWGNotPartCPMSG, AlertDWGNotPartCPMSG,NO,NO
AssignTagDLG, AssignTagDLG,NO,NO
AutoCADP3DFileOpenForEditingDLG,NewDWGDLG,NO,NO
AutoCADPIDDLG,DataManagerDLG,NO,NO
AutoCADPIDFileOpenForEditingDLG,ReportConfigurationDLG,NO,NO
AutoCADPIDFileOpenForEditingDLG,NewDWGDLG,NO,NO
AutoCADPIDMigration2009DLG,PROJECTMANAGERDLG,NO,NO
AutoCADPIDMigrationDLG,PROJECTMANAGERDLG,NO,NO
AutoCADPlant3DCatalogBuilderApplicationDLG,,NO,NO
AutoCADPlant3DCatalogBuilderApplicationParametricGraphicsDLG,,NO,NO
AutoCADPlant3DCatalogBuilderPartFamiliesDetailsNoGraphicsDLG,AutoCADPlant3DCatalogBuilderApplicationDLG,NO,NO
AutoCADPlant3DCatalogBuildSettingsDLG,,NO,NO
AutoCADPlant3DCatalogBuildTaskDLG,AutoCADPlant3DCatalogBuilderApplicationDLG,NO,NO
AutoCADPlant3DMigrationDLG,AppWnd,NO,NO
AutoCADPlantDSpecEditorxBranchEditortabDLG,SpecEditorDLG,NO,NO
AutoCADPlantDSpecEditorxCatalogEditortabDLG,SpecEditorDLG,NO,NO
AutoCADPlantDSpecEditorxSpecEditortabDLG,SpecEditorDLG,NO,NO
AutodeskConnectionPointEditorDLG,AppWnd,NO,NO
AutoPLANTToDMappingClassMappingDLG,SpecEditorDLG,NO,NO
BatchAssignLongDescriptionStylesDLG,SpecEditorDLG,NO,NO
BlockInsideThisDWG,AutoCADPlant3DCatalogBuilderApplicationDLG,NO,NO
BoltLengthMappingDLG,,NO,NO
BoltStandardAlreadyExistsDLG,,NO,NO
BranchTableEditorBranchSizeUnavailableDLG,SpecEditorDLG,NO,NO
BranchTableSetupDLG,SpecEditorDLG,NO,NO
BrowseForFolderDLG,ReportConfigurationDLG,NO,NO
BrowseForFolderReportConfigurationDLG,,NO,NO
BrowseForReportFilesFolderDLG,SettingsDLG,NO,NO
BrowseForSharedContentFolderDLG,ModifySharedContentFolderDLG,NO,NO
BuildCatalogSingleDLG,,NO,NO
CADWorxDataTableFileDLG,ConvertCADWorxSpecsDLG,NO,NO
CADWorxToPlantDMappingClassMappingDLG,SpecEditorDLG,NO,NO
CannotMoveCopyErrorDLG,PMUCopyProjectDatabaseDLG,NO,NO
CatalogBuilderEditLongDescriptionStyleDLG,,NO,NO
CatalogBuilderPartFamiliesExistTaskDLG,,NO,NO
CatalogBuilderSaveAsExcelFileDLG,AutoCADPlant3DCatalogBuilderApplicationDLG,NO,NO
CatalogPropertiesGeneralPropertiesDLG,SpecEditorDLG,NO,NO
CatalogPropertiesSizesAdvancedDLG,SpecEditorDLG,NO,NO
ClassDefinitionOrSymbolNameRequiredDLG,AddSymbolsEditSymbolSettingsDLG,NO,NO
CloseProjectDrawingsDLG,PROJECTMANAGERDLG,NO,NO
COGValidationDLG,AppWnd,NO,NO
ConfirmDeleteDLG,ProjectSetupProjectDetailsDLG,NO,NO
ConnectionFailedDLG,PMUConvertProjectToSQLExpressDLG,NO,NO
ConnectionSucceededDLG,ConnectionSucceededDLG,NO,NO
ControlValveBrowserDLG,ControlValveBrowserDLG,NO,NO
ConvertAutoPLANTSpecsAndCatalogsDLG,SpecEditorDLG,NO,NO
ConvertCADWorxSpecsDLG,SpecEditorDLG,NO,NO
ConvertCSVFilesDLG,SpecEditorDLG,NO,NO
ConvertToPIDObjectDLG,ConvertToPIDObjectDLG,NO,NO
CopyOfEquipmentListDLG,ProjectSetupProjectDetailsDLG,NO,NO
CreateAnAdjacentViewDLG,CreateAnAdjacentViewDLG,NO,NO
CreateCatalogFromExistingCatalogDLG,SpecEditorDLG,NO,NO
CreateCatalogTemplateDLG,,NO,NO
CreateClassDLG,ProjectSetupProjectDetailsDLG,NO,NO
CreateConnectionDLG, CreateConnectionDLG,NO,NO
CreateConnectionDLG,AppWnd,NO,NO
CreateContentPackDLG,BuildCatalogSingleDLG,NO,NO
CreateGridDLG,CreateGridDLG,NO,NO
CreateIsoFromPCFDLG,AppWnd,NO,NO
CreateIsogenInformationDLG,CreateIsogenInformationDLG,NO,NO
CreateIsogenMessageDLG,CreateIsogenMessageDLG,NO,NO
CreateIsoStyleDLG,IsometricDWGSettingsIsoStyleSetupDLG,NO,NO
CreateIsoTypeDLG,ProjectSetupPIDLineDLG,OUT,NO
CreateNewComponentDLG1,SpecEditorDLG,NO,NO
CreatePlateGrateDLG,CreatePlateGrateDLG,NO,NO
CreateProductionIsoDLG,CreateProductionIsoDLG,NO,NO
CreateQuickIsoDLG,CreateQuickIsoDLG,NO,NO
CreateSpecDLG,SpecEditorDLG,NO,NO
CreateSpecFromExistingSpecDLG1,SpecEditorDLG,NO,NO
CreateSpecFromExistingSpecDLG2,SpecEditorDLG,NO,NO
CreateToolDLG,ProjectSetupProjectDetailsDLG,NO,NO
CSVExportOptionsDLG,ReportCreatorDLG,NO,NO
CsvToPlantDMappingClassMappingDLG,SpecEditorDLG,NO,NO
CustomizationDLG,PreviewDLG,NO,NO
CustomizeResetDLG,CustomizationDLG,NO,NO
